,RELIANCE.NS,RELIANCE.NS,RELIANCE.NS,RELIANCE.NS,RELIANCE.NS,TCS.NS,TCS.NS,TCS.NS,TCS.NS,TCS.NS,HDFCBANK.NS,HDFCBANK.NS,HDFCBANK.NS,HDFCBANK.NS,HDFCBANK.NS
,open,high,low,close,volume,open,high,low,close,volume,open,high,low,close,volume
2020-07-02,791.19911852,802.36578422,787.59037899,799.07479534,29270536.50328937,2102.0,2165.0,2098.0,2157.1499,3758709.0,545.15,555.625,542.6,544.7,36954496.0
2020-07-03,807.90372412,813.89559352,802.54735602,811.58055307,29925360.65548176,2163.6499,2205.0,2160.25,2199.6499,4185215.0,546.5,547.9,535.0,536.975,27597758.0
2020-07-06,819.34274752,843.40101102,813.48705697,840.58664812,47800702.5308135,2205.0,2269.8999,2205.0,2263.2,5190366.0,553.975,559.95,550.0,551.5,35558486.0
2020-07-07,844.30887002,846.28346335,819.93285587,827.7177468,35776705.41261697,2275.0,2302.7,2232.1499,2269.8999,5630081.0,554.7,555.85,546.525,552.575,24350850.0
2020-07-08,827.9901045,832.93793605,812.53380502,816.16524102,26641852.97430446,2270.0,2274.3999,2207.6001,2218.8999,2793674.0,553.5,562.45,552.5,555.175,30056824.0
2020-07-09,821.15846552,832.96063252,810.8315694,828.0808904,37026461.15659462,2229.0,2244.5,2191.05,2204.3501,3443998.0,559.0,564.85,553.625,562.475,20115434.0
2020-07-10,830.01009077,855.47553572,828.0808904,852.5022975,44490366.89507566,2205.25,2249.8501,2176.0,2222.3501,9610327.0,558.95,560.0,549.775,552.55,17563208.0
2020-07-13,863.98671385,884.11848717,862.46605002,878.35358252,70769573.24695106,2220.0,2244.95,2210.0,2220.0,2963525.0,554.95,556.5,535.65,540.125,29923390.0
2020-07-14,877.89965302,881.39491017,856.70114537,870.18285152,68454663.112285,2210.0,2239.0,2165.0,2171.95,2976749.0,531.3,534.45,525.0,529.425,26613022.0
2020-07-15,879.69267455,898.23569462,816.16524102,837.04599802,142001341.6144986,2185.0,2260.0,2181.1001,2233.8999,5569322.0,535.1,539.5,525.05,526.575,20974492.0
2020-07-16,838.40778652,848.39423552,822.7245223,836.77364032,61978772.03244338,2244.0,2333.0,2220.1001,2234.75,8582120.0,526.825,532.75,517.05,531.275,23662512.0
2020-07-17,837.49992752,871.54464002,834.32242102,867.77702517,50557487.44998909,2237.0,2243.8999,2190.05,2200.75,4509143.0,529.525,552.0,529.15,549.225,28405866.0
2020-07-20,870.54599512,876.99179402,862.3071747,871.49924707,37203468.81967448,2201.0,2226.8999,2190.8,2207.8999,2952719.0,567.5,576.45,562.075,566.525,65124128.0
